,PROCESS_ID,DATET_STOP
550,CP4,2022-12-31 07
551,CP4,2022-12-31 09
552,CP4,2022-12-31 11
553,CP4,2022-12-31 13
554,CP4,2022-12-31 15
555,CP4,2022-12-31 17
556,CP4,2022-12-31 19
557,CP4,2022-12-31 22
558,CP4,2023-01-01 00
559,CP4,2023-01-01 02
560,CP4,2023-01-01 04
561,CP4,2023-01-01 06
